,year,protest_time
15613,1999,1
15614,1999,1
15615,1999,1
15616,1999,1
15617,1999,2
15618,1999,1
15619,1999,2
15620,1999,1
15621,1999,1
15622,1999,1
15623,1999,2
15624,1999,1
15625,2000,2
15626,2000,1
15627,2000,3
15628,2000,1
15629,2000,1
15630,2000,1
15631,2000,1
15632,2000,1
15633,2000,1
15634,2000,1
15635,2000,17
15636,2000,1
15637,2001,1
15638,2001,3
15639,2001,3
15640,2001,3
15641,2002,1
15642,2002,1
15643,2002,1
15644,2002,1
15645,2003,1
15646,2003,1
15647,2003,1
15648,2003,1
15649,2003,6
15650,2004,1
15651,2004,1
15652,2004,1
15653,2004,1
15654,2004,1
15655,2004,1
15656,2004,1
15657,2004,1
15658,2004,1
15659,2005,1
15660,2005,3
15661,2005,1
15662,2005,1
15663,2005,1
15664,2005,1
15665,2005,1
15666,2005,1
15667,2005,1
15668,2005,1
15669,2006,1
15670,2006,1
15671,2006,1
15672,2006,1
15673,2006,1
15674,2006,1
15675,2006,1
15676,2006,1
15677,2006,1
15678,2006,1
15679,2006,1
15680,2006,1
15681,2006,4
15682,2006,1
15683,2007,1
15684,2007,1
15685,2007,1
15686,2007,1
15687,2008,2
15688,2008,1
15689,2008,1
15690,2008,1
15691,2008,1
15692,2008,2
15693,2008,1
15694,2009,2
15695,2009,1
15696,2010,1
15697,2010,1
15698,2010,1
15699,2010,1
15700,2011,1
15701,2011,2
15702,2011,1
15703,2011,2
15704,2011,1
15705,2011,1
15706,2011,1
15707,2011,4
15708,2011,1
15709,2011,2
15710,2011,2
15711,2011,1
15712,2011,1
15713,2011,1
15714,2011,1
15715,2011,1
15716,2011,1
15717,2011,1
15718,2011,1
15719,2011,1
15720,2011,1
15721,2011,1
15722,2011,1
15723,2011,1
15724,2011,1
15725,2011,3
15726,2011,1
15727,2011,1
15728,2011,2
15729,2011,1
15730,2011,1
15731,2011,1
15732,2011,1
15733,2011,3
15734,2011,1
15735,2011,1
15736,2011,1
15737,2011,1
15738,2011,3
15739,2011,2
15740,2011,1
15741,2011,1
15742,2011,1
15743,2011,1
15744,2011,1
15745,2011,1
15746,2011,1
15747,2011,1
15748,2011,3
15749,2011,1
15750,2011,1
15751,2011,4
15752,2011,1
15753,2011,3
15754,2011,1
15755,2011,1
15756,2011,1
15757,2011,1
15758,2011,7
15759,2011,1
15760,2012,1
15761,2012,2
15762,2012,2
15763,2012,1
15764,2013,31
15765,2013,1
15766,2013,1
15767,2013,1
15768,2013,1
15769,2013,1
15770,2013,2
15771,2013,1
15772,2013,2
15773,2013,1
15774,2013,3
15775,2013,1
15776,2013,3
15777,2014,4
15778,2014,1
15779,2014,1
15780,2014,2
15781,2014,1
15782,2014,1
15783,2014,1
15784,2014,1
15785,2014,1
15786,2014,1
15787,2014,1
15788,2014,1
15789,2014,1
15790,2014,1
15791,2014,3
15792,2014,1
15793,2014,1
15794,2014,1
15795,2014,1
15796,2014,1
15797,2014,1
15798,2014,1
15799,2014,1
15800,2014,1
15801,2014,1
15802,2014,1
15803,2014,1
15804,2014,4
15805,2014,1
15806,2014,1
15807,2014,1
15808,2014,1
15809,2014,1
15810,2014,1
15811,2014,1
15812,2014,1
15813,2014,1
15814,2014,1
15815,2014,1
15816,2014,1
15817,2014,1
15818,2014,1
15819,2014,1
15820,2014,1
15821,2014,1
15822,2014,1
15823,2014,1
15824,2014,1
15825,2014,1
15826,2014,1
15827,2014,1
15828,2014,4
15829,2014,1
15830,2014,2
15831,2014,1
15832,2014,1
15833,2014,1
15834,2014,1
15835,2014,1
15836,2015,1
15837,2015,1
15838,2015,1
15839,2015,1
15840,2015,1
15841,2015,1
15842,2015,1
15843,2015,1
15844,2016,0
15845,2017,1
15846,2017,1
15847,2017,1
15848,2018,1
15849,2018,3
15850,2018,2
15851,2018,1
15852,2018,1
15853,2018,1
15854,2018,1
15855,2018,1
15856,2018,1
15857,2018,1
15858,2018,1
15859,2018,1
15860,2018,1
15861,2018,1
15862,2018,1
15863,2018,1
15864,2019,1
15865,2019,1
15866,2019,1
15867,2019,1
15868,2019,1
15869,2020,1
15870,2020,1
7746,1991,0
7747,1992,0
7748,1993,0
7749,1994,1
7750,1994,1
7751,1995,1
7752,1995,1
7753,1995,1
7754,1995,1
7755,1996,1
7756,1996,1
7757,1996,1
7758,1996,1
7759,1996,1
7760,1996,1
7761,1996,1
7762,1996,1
7763,1996,5
7764,1996,1
7765,1997,1
7766,1997,1
7767,1997,1
7768,1997,1
7769,1997,2
7770,1997,1
7771,1998,1
7772,1999,1
7773,1999,1
7774,1999,1
7775,1999,1
7776,2000,1
7777,2000,1
7778,2000,1
7779,2000,1
7780,2000,1
7781,2000,1
7782,2001,1
7783,2001,1
7784,2002,1
7785,2002,1
7786,2002,1
7787,2002,1
7788,2002,1
7789,2003,1
7790,2004,1
7791,2004,3
7792,2005,1
7793,2005,1
7794,2005,1
7795,2006,6
7796,2006,1
7797,2007,1
7798,2008,1
7799,2008,1
7800,2008,1
7801,2009,1
7802,2010,1
7803,2011,1
7804,2011,1
7805,2011,1
7806,2011,1
7807,2011,1
7808,2012,0
7809,2013,0
7810,2014,0
7811,2015,0
7812,2016,0
7813,2017,1
7814,2017,1
7815,2017,1
7816,2017,1
7817,2017,1
7818,2017,1
7819,2017,1
7820,2018,1
7821,2018,1
7822,2019,1
7823,2019,1
7824,2019,1
7825,2020,0
3854,1990,0
3855,1991,0
3856,1992,0
3857,1993,1
3858,1993,1
3859,1994,0
3860,1995,1
3861,1995,1
3862,1996,1
3863,1996,1
3864,1996,1
3865,1996,1
3866,1996,1
3867,1996,1
3868,1996,1
3869,1996,1
3870,1996,1
3871,1997,1
3872,1998,0
3873,1999,0
3874,2000,4
3875,2001,0
3876,2002,1
3877,2003,0
3878,2004,0
3879,2005,0
3880,2006,0
3881,2007,1
3882,2008,1
3883,2008,1
3884,2008,1
3885,2009,1
3886,2010,0
3887,2011,1
3888,2012,0
3889,2013,1
3890,2014,1
3891,2014,1
3892,2015,1
3893,2016,1
3894,2016,1
3895,2016,1
3896,2016,1
3897,2016,1
3898,2017,0
3899,2018,1
3900,2018,1
3901,2018,1
3902,2018,1
3903,2018,1
3904,2019,1
3905,2019,1
3906,2019,1
3907,2019,1
3908,2019,1
3909,2019,1
3910,2020,0
8550,1990,2
8551,1991,0
8552,1992,0
8553,1993,0
8554,1994,1
8555,1995,0
8556,1996,0
8557,1997,2
8558,1997,3
8559,1998,1
8560,1999,0
8561,2000,2
8562,2001,1
8563,2001,1
8564,2001,1
8565,2002,2
8566,2002,1
8567,2003,0
8568,2004,1
8569,2005,1
8570,2006,1
8571,2007,1
8572,2008,1
8573,2009,0
8574,2010,1
8575,2011,1
8576,2011,1
8577,2011,1
8578,2011,1
8579,2011,1
8580,2012,0
8581,2013,1
8582,2013,1
8583,2013,1
8584,2013,1
8585,2013,1
8586,2014,1
8587,2014,1
8588,2015,0
8589,2016,1
8590,2016,1
8591,2017,1
8592,2018,0
8593,2019,1
8594,2019,1
8595,2019,1
8596,2019,1
8597,2019,1
8598,2019,1
8599,2019,1
8600,2019,1
8601,2019,1
8602,2019,1
8603,2019,1
8604,2019,1
8605,2019,1
8606,2019,1
8607,2019,1
8608,2019,1
8609,2019,1
8610,2019,1
8611,2019,1
8612,2019,1
8613,2019,1
8614,2019,1
8615,2019,1
8616,2019,1
8617,2019,1
8618,2019,1
8619,2019,1
8620,2020,0
15319,1990,7
15320,1991,0
15321,1992,0
15322,1993,0
15323,1994,0
15324,1995,0
15325,1996,0
15326,1997,0
15327,1998,0
15328,1999,1
15329,2000,0
15330,2001,0
15331,2002,0
15332,2003,0
15333,2004,0
15334,2005,0
15335,2006,0
15336,2007,0
15337,2008,0
15338,2009,0
15339,2010,0
15340,2011,0
15341,2012,0
15342,2013,0
15343,2014,0
15344,2015,0
15345,2016,0
15346,2017,0
15347,2018,0
15348,2019,0
15349,2020,0
2220,1990,1
2221,1990,35
2222,1990,1
2223,1991,3
2224,1991,1
2225,1991,1
2226,1991,1
2227,1991,1
2228,1992,31
2229,1992,1
2230,1992,1
2231,1992,1
